ID_met_production,metabolite_prod,production,excreted,chebi_ID,FK_metabolites,ID_strains,ID_reference,manual_annotation,last_change
10537,Indole,0,,35581.0,10268.0,378,23281,1,2017-02-10 10:00:50
10538,Indole,0,,35581.0,10269.0,379,22905,1,2017-02-10 10:00:50
10539,Acetoin,0,,15688.0,12351.0,379,22905,1,2017-02-10 10:00:50
10540,Nitrite,0,,16301.0,10270.0,382,23282,1,2017-02-10 10:00:50
10541,Indole,0,,35581.0,10271.0,382,23282,1,2017-02-10 10:00:50
10542,Acetoin,0,,15688.0,10272.0,382,23282,1,2017-02-10 10:00:50
10543,Indole,0,,35581.0,10273.0,385,23283,1,2017-02-10 10:00:50
10544,Hydrogen sulfide,0,,16136.0,10274.0,385,23283,1,2017-02-10 10:00:50
10545,Indole,0,,35581.0,10275.0,414,23285,1,2017-02-10 10:00:50
10546,Acetoin,1,,15688.0,12352.0,414,23285,1,2017-02-10 10:00:50
10547,Polyhydroxybutyrate,0,,53388.0,10276.0,437,23286,1,2017-02-10 10:00:50
10548,Indole,0,,35581.0,10277.0,437,23286,1,2017-02-10 10:00:50
10549,Hydrogen sulfide,0,,16136.0,10278.0,437,23286,1,2017-02-10 10:00:50
10550,Fluorescein,0,,31624.0,10279.0,437,23286,1,2017-02-10 10:00:50
10551,Polyhydroxybutyrate,0,,53388.0,10280.0,438,23286,1,2017-02-10 10:00:50
10552,Indole,0,,35581.0,10281.0,438,23286,1,2017-02-10 10:00:50
10553,Hydrogen sulfide,0,,16136.0,10282.0,438,23286,1,2017-02-10 10:00:50
10554,Fluorescein,0,,31624.0,10283.0,438,23286,1,2017-02-10 10:00:50
10555,Indole,0,,35581.0,10284.0,440,23287,1,2017-02-10 10:00:50
10556,Polyhydroxybutyrate,0,,53388.0,10285.0,447,23288,1,2017-02-10 10:00:50
10557,Indole,0,,35581.0,10286.0,447,23288,1,2017-02-10 10:00:50
10558,Hydrogen sulfide,0,,16136.0,10287.0,447,23288,1,2017-02-10 10:00:50
10560,Acetoin,0,,15688.0,12353.0,447,23288,1,2017-02-10 10:00:50
10561,Polyhydroxybutyrate,0,,53388.0,10288.0,449,23289,1,2017-02-10 10:00:50
10562,Indole,0,,35581.0,10289.0,450,23290,1,2017-02-10 10:00:50
10563,Polyhydroxybutyrate,0,,53388.0,10290.0,459,23292,1,2017-02-10 10:00:50
10564,Polyhydroxybutyrate,0,,53388.0,10291.0,465,23292,1,2017-02-10 10:00:50
10565,Polyhydroxybutyrate,0,,53388.0,10292.0,473,23295,1,2017-02-10 10:00:50
10566,Indole,0,,35581.0,12355.0,478,23296,1,2017-02-10 10:00:50
10567,Acetoin,0,,15688.0,12354.0,478,23296,1,2017-02-10 10:00:50
10568,Indole,0,,35581.0,10293.0,479,23297,1,2017-02-10 10:00:50
10569,Indole,0,,35581.0,10294.0,480,23297,1,2017-02-10 10:00:50
10570,Indole,0,,35581.0,12356.0,492,23125,1,2017-02-10 10:00:50
10571,Indole,0,,35581.0,12357.0,493,23126,1,2017-02-10 10:00:50
10572,Indole,0,,35581.0,12359.0,526,23131,1,2017-02-10 10:00:50
10573,Acetoin,0,,15688.0,12358.0,526,23131,1,2017-02-10 10:00:50
10574,Indole,0,,35581.0,12360.0,528,23132,1,2017-02-10 10:00:50
10575,Indole,0,,35581.0,12362.0,531,23133,1,2017-02-10 10:00:50
10576,Acetoin,1,,15688.0,12361.0,531,23133,1,2017-02-10 10:00:50
10577,Indole,0,,35581.0,12364.0,532,23134,1,2017-02-10 10:00:50
