ID_annotation_event,approved,ID_approval_user,ID_annotation_user,Created,Last_Changed
3978,0,,9,2014-11-21 13:49:36,2014-11-21 13:49:36
3979,0,,9,2014-11-21 13:51:40,2014-11-21 13:51:40
3980,0,,9,2014-11-21 13:52:22,2014-11-21 13:52:22
3981,0,,9,2014-11-21 13:53:58,2014-11-21 13:53:58
3982,0,,9,2014-11-21 13:56:31,2014-11-21 13:56:31
3983,0,,9,2014-11-21 13:58:27,2014-11-21 13:58:27
3984,0,,9,2014-11-21 13:59:06,2014-11-21 13:59:06
3985,0,,9,2014-11-21 14:03:10,2014-11-21 14:03:10
3986,0,,10,2014-11-24 10:23:42,2014-11-24 10:23:42
3987,0,,10,2014-11-24 10:34:03,2014-11-24 10:34:03
3988,0,,10,2014-11-24 10:36:43,2014-11-24 10:36:43
3989,0,,10,2014-11-24 10:40:09,2014-11-24 10:40:09
3990,0,,10,2014-11-24 10:42:53,2014-11-24 10:42:53
3991,0,,10,2014-11-24 10:52:31,2014-11-24 10:52:31
3992,0,,10,2014-11-24 10:57:22,2014-11-24 10:57:22
3993,0,,10,2014-11-24 10:57:44,2014-11-24 10:57:44
3994,0,,10,2014-11-24 11:01:49,2014-11-24 11:01:49
3995,0,,10,2014-11-24 11:04:41,2014-11-24 11:04:41
3996,0,,10,2014-11-24 11:07:17,2014-11-24 11:07:17
3997,0,,10,2014-11-24 11:09:17,2014-11-24 11:09:17
3998,0,,10,2014-11-24 11:11:48,2014-11-24 11:11:48
3999,0,,10,2014-11-24 11:13:45,2014-11-24 11:13:45
4000,0,,10,2014-11-24 11:14:30,2014-11-24 11:14:30
4001,0,,10,2014-11-24 11:19:08,2014-11-24 11:19:08
4002,0,,10,2014-11-24 11:24:33,2014-11-24 11:24:33
4003,0,,10,2014-11-24 11:26:22,2014-11-24 11:26:22
4004,0,,10,2014-11-24 11:29:04,2014-11-24 11:29:04
4005,0,,10,2014-11-24 11:32:41,2014-11-24 11:32:41
4006,0,,10,2014-11-24 11:38:11,2014-11-24 11:38:11
4007,0,,10,2014-11-24 11:43:22,2014-11-24 11:43:22
4008,0,,10,2014-11-24 11:48:13,2014-11-24 11:48:13
4009,0,,10,2014-11-24 11:48:52,2014-11-24 11:48:52
4010,0,,10,2014-11-24 11:51:14,2014-11-24 11:51:14
4011,0,,10,2014-11-24 11:53:47,2014-11-24 11:53:47
4012,0,,10,2014-11-24 11:55:25,2014-11-24 11:55:25
4013,0,,10,2014-11-24 11:57:57,2014-11-24 11:57:57
4014,0,,10,2014-11-24 12:00:31,2014-11-24 12:00:31
4015,0,,10,2014-11-24 12:02:21,2014-11-24 12:02:21
4016,0,,10,2014-11-24 12:03:37,2014-11-24 12:03:37
4017,0,,10,2014-11-24 12:05:28,2014-11-24 12:05:28
