temp,test_type,ability,temperature_range,ID_strains
27.5,optimum,positive,mesophilic,24518
27.5,optimum,positive,mesophilic,24039
27.5,optimum,positive,mesophilic,130637
27.5,optimum,positive,mesophilic,14165
27.5,optimum,positive,mesophilic,23794
27.5,optimum,positive,mesophilic,130813
27.5,optimum,positive,mesophilic,11147
27.5,optimum,positive,mesophilic,13260
27.5,optimum,positive,mesophilic,134228
27.5,optimum,positive,mesophilic,133633
27.5,optimum,positive,mesophilic,6865
27.5,optimum,positive,mesophilic,16453
27.5,optimum,positive,mesophilic,133897
27.5,optimum,positive,mesophilic,10774
27.5,optimum,positive,mesophilic,11160
27.5,optimum,positive,mesophilic,14128
27.5,optimum,positive,mesophilic,14413
27.5,optimum,positive,mesophilic,488
27.5,optimum,positive,mesophilic,16456
27.5,optimum,positive,mesophilic,13303
27.5,optimum,positive,mesophilic,14844
27.5,optimum,positive,mesophilic,134033
27.5,optimum,positive,mesophilic,5655
27.5,optimum,positive,mesophilic,5653
27.5,optimum,positive,mesophilic,24458
27.5,optimum,positive,mesophilic,13684
27.5,optimum,positive,mesophilic,17664
27.5,optimum,positive,mesophilic,14135
27.5,optimum,positive,mesophilic,133808
27.5,optimum,positive,mesophilic,5579
27.5,optimum,positive,mesophilic,133751
27.5,optimum,positive,mesophilic,1747
27.5,optimum,positive,mesophilic,5728
27.5,optimum,positive,mesophilic,24763
27.5,optimum,positive,mesophilic,10516
27.5,optimum,positive,mesophilic,133890
27.5,optimum,positive,mesophilic,133746
27.5,optimum,positive,mesophilic,133747
27.5,optimum,positive,mesophilic,498
27.5,optimum,positive,mesophilic,499
27.5,optimum,positive,mesophilic,14040
27.5,optimum,positive,mesophilic,133899
27.5,optimum,positive,mesophilic,7439
27.5,optimum,positive,mesophilic,133871
27.5,optimum,positive,mesophilic,22904
27.5,optimum,positive,mesophilic,133725
27.5,optimum,positive,mesophilic,5547
27.5,optimum,positive,mesophilic,134214
27.5,optimum,positive,mesophilic,17789
27.5,optimum,positive,mesophilic,130135
27.5,optimum,positive,mesophilic,463
27.5,optimum,positive,mesophilic,132885
27.5,optimum,positive,mesophilic,10501
27.5,optimum,positive,mesophilic,134036
27.5,optimum,positive,mesophilic,10523
27.5,optimum,positive,mesophilic,133485
27.5,optimum,positive,mesophilic,6222
27.5,optimum,positive,mesophilic,134000
27.5,optimum,positive,mesophilic,16419
27.5,optimum,positive,mesophilic,134209
27.5,optimum,positive,mesophilic,11616
27.5,optimum,positive,mesophilic,133782
27.5,optimum,positive,mesophilic,133783
27.5,optimum,positive,mesophilic,133769
27.5,optimum,positive,mesophilic,134149
27.5,optimum,positive,mesophilic,11297
27.5,optimum,positive,mesophilic,8016
27.5,optimum,positive,mesophilic,133450
27.5,optimum,positive,mesophilic,134211
27.5,optimum,positive,mesophilic,134290
27.5,optimum,positive,mesophilic,133621
27.5,optimum,positive,mesophilic,134295
27.5,optimum,positive,mesophilic,134232
27.5,optimum,positive,mesophilic,133696
27.5,optimum,positive,mesophilic,24800
27.5,optimum,positive,mesophilic,17314
27.5,optimum,positive,mesophilic,7426
27.5,optimum,positive,mesophilic,7229
27.5,optimum,positive,mesophilic,13924
27.5,optimum,positive,mesophilic,3896
27.5,optimum,positive,mesophilic,7853
27.5,optimum,positive,mesophilic,17483
27.5,optimum,positive,mesophilic,3230
27.5,optimum,positive,mesophilic,17706
27.5,optimum,positive,mesophilic,13904
27.5,optimum,positive,mesophilic,13830
27.5,optimum,positive,mesophilic,132119
27.5,optimum,positive,mesophilic,11609
27.5,optimum,positive,mesophilic,23114
27.5,optimum,positive,mesophilic,133792
27.5,optimum,positive,mesophilic,7845
27.5,optimum,positive,mesophilic,23319
27.5,optimum,positive,mesophilic,2101
27.5,optimum,positive,mesophilic,13387
27.5,optimum,positive,mesophilic,16582
27.5,optimum,positive,mesophilic,10624
27.5,optimum,positive,mesophilic,133795
27.5,optimum,positive,mesophilic,24635
27.5,optimum,positive,mesophilic,7841
27.5,optimum,positive,mesophilic,10818
27.5,optimum,positive,mesophilic,133745
27.5,optimum,positive,mesophilic,134342
27.5,optimum,positive,mesophilic,16583
27.5,optimum,positive,mesophilic,130440
27.5,optimum,positive,mesophilic,8013
27.5,optimum,positive,mesophilic,7875
27.5,optimum,positive,mesophilic,8012
27.5,optimum,positive,mesophilic,134016
27.5,optimum,positive,mesophilic,5585
27.5,optimum,positive,mesophilic,132093
27.5,optimum,positive,mesophilic,17312
27.5,optimum,positive,mesophilic,7193
27.5,optimum,positive,mesophilic,134032
27.5,optimum,positive,mesophilic,13964
27.5,optimum,positive,mesophilic,24038
27.5,optimum,positive,mesophilic,134068
27.5,optimum,positive,mesophilic,134231
27.5,optimum,positive,mesophilic,130533
27.5,optimum,positive,mesophilic,130847
27.5,optimum,positive,mesophilic,11116
27.5,optimum,positive,mesophilic,133421
27.5,optimum,positive,mesophilic,133422
