ID_culture_pH,pH,test_type,ability,ID_strains
649,8.0,optimum,positive,4196
650,5.5-6.0,optimum,positive,4198
651,4.8-6.8,growth,positive,4199
652,6.0,optimum,positive,4199
653,5.5-7.5,growth,positive,4200
654,6.5,optimum,positive,4200
655,4.5-7.0,growth,positive,4203
656,6.0,optimum,positive,4203
657,5.0-7.0,growth,positive,4205
658,6.5,optimum,positive,4205
659,6.5-7.9,growth,positive,4210
660,7.0-7.3,optimum,positive,4210
661,6.5-7.5,growth,positive,4238
662,7.3,optimum,positive,4238
663,5.4,minimum,positive,4239
664,8.9,maximum,positive,4239
665,7.0,optimum,positive,4239
666,7.08-8.5,optimum,positive,5387
667,7.0,optimum,positive,12668
668,6.0-9.0,growth,positive,12668
669,7.0-11.0,growth,positive,22931
670,10.0,optimum,positive,22931
671,7.0-8.3,growth,positive,23735
672,7.6,optimum,positive,23735
673,7.0-9.0,growth,positive,130201
674,8.0,optimum,positive,130201
675,6.0-8.2,growth,positive,133124
676,7.5-7.8,optimum,positive,133124
677,6.0-7.5,growth,positive,133125
678,7,optimum,positive,133125
679,6.3-6.8,growth,positive,131722
680,6.0-9.0,growth,positive,14118
681,5.5-9.0,growth,positive,133262
682,6.0-11.0,growth,positive,17886
683,7.0-9.0,optimum,positive,17886
684,7.0-8.0,growth,positive,133127
685,7.5,optimum,positive,24046
686,6.0-8.3,growth,positive,24046
687,4.5-5.0,maximum,positive,12636
688,6.0-11.0,growth,positive,133129
689,4.0-11.0,growth,positive,133130
690,6.0-7.0,optimum,positive,133130
691,6.0-10.0,growth,positive,132630
692,7.0-8.0,optimum,positive,132630
693,5.0-11.0,growth,positive,133131
694,8.0-9.0,optimum,positive,133131
695,5.0-9.0,growth,positive,133132
696,5.0-9.0,growth,positive,132631
697,7.0-7.5,optimum,positive,132631
698,6.0-9.0,optimum,positive,133134
699,7.0-11.0,growth,positive,132632
700,9.0-10.0,optimum,positive,132632
701,5.0-9.0,growth,positive,132633
702,7,optimum,positive,132633
703,6.0-8.0,growth,positive,132634
704,7,optimum,positive,132634
705,5,growth,positive,133136
706,4.5,growth,no,133136
707,6.5-8.0,optimum,positive,133136
708,6.0-11.0,growth,positive,133137
709,7,optimum,positive,133137
710,5,growth,positive,133137
711,11,growth,positive,133137
712,6.0-8.0,growth,positive,132635
713,7,optimum,positive,132635
714,7.5,optimum,positive,133133
715,6.0-8.5,growth,positive,133133
716,6.0-9.0,growth,positive,133140
717,6,optimum,positive,133140
718,7.0-8.0,optimum,positive,133002
719,5.5,growth,positive,133002
720,5,growth,no,133002
721,6.0-8.0,growth,positive,132636
722,7,optimum,positive,132636
723,5.0-8.0,growth,positive,133141
724,5.0-8.5,growth,positive,133142
725,7,optimum,positive,133142
726,5.0-9.0,growth,positive,132637
727,6.0-7.0,optimum,positive,132637
728,6.0-9.0,growth,positive,133143
729,7,optimum,positive,133143
730,5.0-9.0,growth,positive,133144
731,8,growth,positive,133144
732,8.5,growth,positive,133144
733,9,growth,positive,133144
734,10,growth,no,133144
735,<5.0,growth,no,133144
736,6.0-9.0,growth,positive,133145
737,5.0-10.0,growth,positive,133145
738,7,optimum,positive,133145
739,5.5,growth,positive,133147
740,5,growth,no,133147
741,7.0-8.0,optimum,positive,133147
742,7.0-8.0,optimum,positive,133148
743,6,growth,positive,133148
744,5.5,growth,no,133148
745,6.0-8.5,growth,positive,133003
746,7.5,optimum,positive,133003
747,7-9,growth,positive,133149
748,8,optimum,positive,133149
749,7-10,optimum,positive,133149
750,9.6,growth,no,132638
751,8.0-12.0,growth,positive,133151
752,9,optimum,positive,133151
753,6.8,optimum,positive,132639
754,5.0-7.5,growth,positive,132639
755,6.0-8.5,growth,positive,132640
756,5.0-8.0,growth,positive,132642
757,6.5-7.0,optimum,positive,132642
758,6.0-9.5,growth,positive,133153
759,7.0-8.0,optimum,positive,133153
760,6.0-9.6,growth,positive,2285
761,7.8,optimum,positive,2285
762,5.0-8.0,growth,positive,132643
763,5.2-5.8,optimum,positive,132643
764,4.0-9.0,growth,positive,132644
765,7.0-8.5,optimum,positive,132644
766,6.5-8.5,growth,positive,132646
767,7,optimum,positive,132646
768,6.0-9.0,growth,positive,133157
769,7,optimum,positive,133157
770,5.5-8.0,growth,positive,132647
771,6.5-7.0,optimum,positive,132647
772,6.0-10.0,growth,positive,133158
773,7.0-8.0,optimum,positive,133158
774,6.3-9.0,growth,positive,133159
775,6.5-7.5,optimum,positive,133159
776,5.0-9.0,growth,positive,133160
777,7.0-8.0,optimum,positive,133160
778,5.0-10.0,growth,positive,133161
779,7,optimum,positive,133161
781,5.5,growth,positive,133163
782,5,growth,no,133163
783,7.0-8.0,optimum,positive,133163
784,6.0-9.0,growth,positive,133164
785,7,optimum,positive,133164
786,5.5-9.0,growth,positive,132648
787,5.5,optimum,positive,132648
788,6.0-10.0,growth,positive,132649
789,5.0-10.0,growth,positive,132650
790,8,optimum,positive,132650
791,5.0-10.0,growth,positive,133165
792,6.0-8.0,optimum,positive,133165
793,5.0-9.5,growth,positive,133165
794,6.0-8.5,optimum,positive,133165
795,6.1-8.8,growth,positive,133167
796,6.9-7.7,optimum,positive,133167
797,6.5-7.5,growth,positive,133168
798,6.1-8.8,optimum,positive,133168
799,7.0-8.0,optimum,positive,133169
800,6,growth,positive,133169
801,5.5,growth,no,133169
802,6.0-8.0,growth,positive,133170
803,5.0-9.0,growth,positive,133171
804,8,optimum,positive,133171
805,6.5-7.0,optimum,positive,133172
806,6.0-10.0,growth,positive,133172
807,7,optimum,positive,133173
808,6.0-9.0,growth,positive,133173
809,6.0-10.0,growth,positive,133174
810,7.0-8.0,optimum,positive,133174
811,6.8-10.0,growth,positive,133176
812,6.8-7.0,optimum,positive,133176
813,7.0-8.0,optimum,positive,133178
814,6,growth,positive,133178
815,5.5,growth,no,133178
816,6,optimum,positive,133179
817,4.0-8.0,growth,positive,133179
818,7.0-9.0,growth,positive,133180
819,7.5-8.0,optimum,positive,133180
820,6.0-8.0,growth,positive,133181
