ID_oxygen_tolerance,oxygen_tol,ID_strains
1947,microaerophile,6603
1948,microaerophile,6604
1949,microaerophile,6606
1950,anaerobe,6607
1951,microaerophile,6607
1952,anaerobe,6609
1953,microaerophile,6609
1954,microaerophile,6610
1955,anaerobe,6611
1956,anaerobe,6612
1957,anaerobe,6613
1958,microaerophile,6613
1959,anaerobe,6614
1960,microaerophile,6614
1961,anaerobe,6615
1962,anaerobe,6616
1963,anaerobe,6617
1964,microaerophile,6617
1965,anaerobe,6618
1966,microaerophile,6618
1967,anaerobe,6619
1968,anaerobe,6620
1969,microaerophile,6621
1971,anaerobe,6622
1972,anaerobe,6623
1973,microaerophile,6623
1974,microaerophile,6624
1975,microaerophile,6625
1976,microaerophile,6626
1977,microaerophile,6627
1978,microaerophile,6630
1979,microaerophile,6631
1980,microaerophile,6632
1981,microaerophile,6633
1982,microaerophile,6634
1983,microaerophile,6635
1984,microaerophile,6636
1985,microaerophile,6637
1986,anaerobe,6638
1987,microaerophile,6638
1989,microaerophile,6642
1990,microaerophile,6643
1991,microaerophile,6644
1992,anaerobe,6645
1993,microaerophile,6645
1994,anaerobe,6646
1995,microaerophile,6646
1996,anaerobe,6647
1997,microaerophile,6647
1998,anaerobe,6648
1999,microaerophile,6648
2000,anaerobe,6649
2001,microaerophile,6649
2002,microaerophile,6657
2003,microaerophile,6659
2004,microaerophile,6660
2005,microaerophile,6661
2006,anaerobe,6662
2007,microaerophile,6667
2008,microaerophile,6668
2009,microaerophile,6669
2010,microaerophile,6670
2011,microaerophile,6671
2012,microaerophile,6672
2013,microaerophile,6673
2014,microaerophile,6674
2015,anaerobe,6675
2016,microaerophile,6676
2017,anaerobe,6677
2018,microaerophile,6678
2019,anaerobe,6679
2020,microaerophile,6679
2021,microaerophile,6681
2022,microaerophile,6682
2023,microaerophile,6683
2024,microaerophile,6684
2025,microaerophile,6685
2026,microaerophile,6686
2027,microaerophile,6687
2028,microaerophile,6688
2029,microaerophile,6690
2030,microaerophile,6691
2031,microaerophile,6692
2032,microaerophile,6693
2033,anaerobe,6694
2034,microaerophile,6694
2035,"obligate anaerobe",6695
2036,microaerophile,6696
2037,microaerophile,6697
2038,microaerophile,6699
2039,microaerophile,6700
2040,microaerophile,6701
2041,microaerophile,6702
2042,microaerophile,6703
2043,microaerophile,6704
2044,microaerophile,6705
2045,microaerophile,6706
2046,microaerophile,6707
2047,microaerophile,6708
2048,microaerophile,6709
2049,microaerophile,6710
2050,microaerophile,6711
2051,microaerophile,6712
2052,microaerophile,6713
2053,microaerophile,6714
2054,microaerophile,6715
2055,microaerophile,6716
2056,microaerophile,6717
2057,microaerophile,6718
2058,microaerophile,6719
2059,microaerophile,6720
2060,microaerophile,6721
2061,microaerophile,6722
2062,microaerophile,6723
2063,microaerophile,6724
2064,microaerophile,6725
2065,microaerophile,6726
2066,microaerophile,6727
2067,microaerophile,6728
2068,microaerophile,6729
2069,microaerophile,6730
2070,microaerophile,6731
2071,microaerophile,6732
2072,microaerophile,6733
2073,microaerophile,6734
2074,microaerophile,6735
2075,microaerophile,6736
2076,microaerophile,6739
2077,microaerophile,6741
2078,microaerophile,6744
2079,microaerophile,6745
2080,microaerophile,6746
2081,microaerophile,6748
2082,microaerophile,6749
2083,microaerophile,6750
2084,microaerophile,6751
2085,microaerophile,6752
2086,microaerophile,6753
2087,microaerophile,6754
2088,microaerophile,6756
2089,microaerophile,6757
2090,microaerophile,6759
2091,microaerophile,6760
2092,microaerophile,6762
2093,microaerophile,6764
2094,microaerophile,6765
2095,microaerophile,6766
2096,microaerophile,6767
2097,microaerophile,6768
2098,microaerophile,6769
2099,microaerophile,6772
2100,microaerophile,6773
2101,microaerophile,6774
2102,microaerophile,6775
2103,microaerophile,6776
2104,microaerophile,6777
2105,microaerophile,6778
2106,microaerophile,6779
2107,microaerophile,6780
2108,microaerophile,6781
2109,microaerophile,6782
2110,microaerophile,6783
2111,microaerophile,6784
2112,microaerophile,6785
2113,microaerophile,6786
2114,microaerophile,6790
2115,microaerophile,6791
