ID_enzymes,enzyme,activity,ec_number,exoenzyme,production,ID_strains
28893,catalase,+,1.11.1.6,NULL,NULL,140753
28894,"cytochrome oxidase",-,1.9.3.1,NULL,NULL,140753
28895,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,140753
28896,"esterase (C 4)",+,NULL,NULL,NULL,140753
28897,"esterase Lipase (C 8)",+,NULL,NULL,NULL,140753
28898,"leucine arylamidase",+,3.4.11.1,NULL,NULL,140753
28899,"valine arylamidase",+,NULL,NULL,NULL,140753
28900,"cystine arylamidase",+,3.4.11.3,NULL,NULL,140753
28901,"acid phosphatase",+,3.1.3.2,NULL,NULL,140753
28902,trypsin,-,3.4.21.4,NULL,NULL,140753
28903,naphthol-AS-BI-phosphohydrolase,-,NULL,NULL,NULL,140753
28904,catalase,+,1.11.1.6,NULL,NULL,140754
28905,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,140754
28906,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,140754
28907,"esterase Lipase (C 8)",+,NULL,NULL,NULL,140754
28908,"leucine arylamidase",+,3.4.11.1,NULL,NULL,140754
28909,"valine arylamidase",+,NULL,NULL,NULL,140754
28910,"cystine arylamidase",+,3.4.11.3,NULL,NULL,140754
28911,"acid phosphatase",+,3.1.3.2,NULL,NULL,140754
28912,beta-galactosidase,+,3.2.1.23,NULL,NULL,140754
28913,alpha-mannosidase,+,3.2.1.24,NULL,NULL,140754
28914,alpha-fucosidase,+,3.2.1.51,NULL,NULL,140754
28915,alpha-chymotrypsin,+/-,3.4.21.1,NULL,NULL,140754
28916,naphthol-AS-BI-phosphohydrolase,+/-,NULL,NULL,NULL,140754
28917,alpha-glucosidase,+/-,3.2.1.20,NULL,NULL,140754
28918,"esterase (C 4)",-,NULL,NULL,NULL,140754
28919,"lipase (C 14)",-,NULL,NULL,NULL,140754
28920,trypsin,-,3.4.21.4,NULL,NULL,140754
28921,alpha-galactosidase,-,3.2.1.22,NULL,NULL,140754
28922,beta-glucuronidase,-,3.2.1.31,NULL,NULL,140754
28923,beta-glucosidase,-,3.2.1.21,NULL,NULL,140754
28924,N-acetyl-beta-glucosaminidase,-,3.2.1.52,NULL,NULL,140754
28925,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,140755
28926,catalase,+,1.11.1.6,NULL,NULL,140755
28927,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,140755
28928,"esterase Lipase (C 8)",+,NULL,NULL,NULL,140755
28929,"leucine arylamidase",+,3.4.11.1,NULL,NULL,140755
28930,"valine arylamidase",+,NULL,NULL,NULL,140755
28931,"cystine arylamidase",+,3.4.11.3,NULL,NULL,140755
28932,trypsin,+,3.4.21.4,NULL,NULL,140755
28933,alpha-chymotrypsin,+,3.4.21.1,NULL,NULL,140755
28934,"acid phosphatase",+,3.1.3.2,NULL,NULL,140755
28935,alpha-galactosidase,+,3.2.1.22,NULL,NULL,140755
28936,beta-glucuronidase,+,3.2.1.31,NULL,NULL,140755
28937,beta-galactosidase,+,3.2.1.23,NULL,NULL,140755
28938,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,140755
28939,alpha-glucosidase,+,3.2.1.20,NULL,NULL,140755
28940,beta-glucosidase,+,3.2.1.21,NULL,NULL,140755
28941,alpha-mannosidase,+,3.2.1.24,NULL,NULL,140755
28942,N-acetyl-beta-glucosaminidase,+,3.2.1.52,NULL,NULL,140755
28943,alpha-fucosidase,+,3.2.1.51,NULL,NULL,140755
28944,urease,+,3.5.1.5,NULL,NULL,140755
28945,"esterase (C 4)",-,NULL,NULL,NULL,140755
28946,"lipase (C 14)",-,NULL,NULL,NULL,140755
28947,catalase,+,1.11.1.6,NULL,NULL,140756
28948,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,140756
28949,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,140756
28950,"acid phosphatase",+,3.1.3.2,NULL,NULL,140756
28951,"esterase (C 4)",+,NULL,NULL,NULL,140756
28952,"esterase Lipase (C 8)",+,NULL,NULL,NULL,140756
28953,"leucine arylamidase",+,3.4.11.1,NULL,NULL,140756
28954,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,140756
28955,alpha-chymotrypsin,+,3.4.21.1,NULL,NULL,140756
28956,alpha-galactosidase,+,3.2.1.22,NULL,NULL,140756
28957,beta-galactosidase,+,3.2.1.23,NULL,NULL,140756
28958,"cytochrome oxidase",+,1.9.3.1,NULL,NULL,140757
28959,catalase,+,1.11.1.6,NULL,NULL,140757
28960,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,140757
28961,"esterase (C 4)",+,NULL,NULL,NULL,140757
28962,"esterase Lipase (C 8)",+,NULL,NULL,NULL,140757
28963,"leucine arylamidase",+,3.4.11.1,NULL,NULL,140757
28964,"valine arylamidase",+,NULL,NULL,NULL,140757
28965,"cystine arylamidase",+,3.4.11.3,NULL,NULL,140757
28966,"acid phosphatase",+,3.1.3.2,NULL,NULL,140757
28967,naphthol-AS-BI-phosphohydrolase,+,NULL,NULL,NULL,140757
28968,"lipase (C 14)",-,NULL,NULL,NULL,140757
28969,trypsin,-,3.4.21.4,NULL,NULL,140757
28970,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,140757
28971,alpha-galactosidase,-,3.2.1.22,NULL,NULL,140757
28972,beta-galactosidase,-,3.2.1.23,NULL,NULL,140757
28973,beta-glucuronidase,-,3.2.1.31,NULL,NULL,140757
28974,alpha-glucosidase,-,3.2.1.20,NULL,NULL,140757
28975,beta-glucosidase,-,3.2.1.21,NULL,NULL,140757
28976,N-acetyl-beta-glucosaminidase,-,3.2.1.52,NULL,NULL,140757
28977,alpha-mannosidase,-,3.2.1.24,NULL,NULL,140757
28978,alpha-fucosidase,-,3.2.1.51,NULL,NULL,140757
28979,DNase,-,NULL,NULL,NULL,140757
28980,"arginine dihydrolase",-,3.5.3.6,NULL,NULL,140757
28981,"alkaline phosphatase",+,3.1.3.1,NULL,NULL,140758
28982,trypsin,+,3.4.21.4,NULL,NULL,140758
28983,"esterase (C 4)",+/-,NULL,NULL,NULL,140758
28984,"esterase Lipase (C 8)",+/-,NULL,NULL,NULL,140758
28985,"leucine arylamidase",+/-,3.4.11.1,NULL,NULL,140758
28986,"cystine arylamidase",+/-,3.4.11.3,NULL,NULL,140758
28987,naphthol-AS-BI-phosphohydrolase,+/-,NULL,NULL,NULL,140758
28988,"lipase (C 14)",-,NULL,NULL,NULL,140758
28989,"valine arylamidase",-,NULL,NULL,NULL,140758
28990,alpha-chymotrypsin,-,3.4.21.1,NULL,NULL,140758
28991,"acid phosphatase",-,3.1.3.2,NULL,NULL,140758
