"Dataset","Number of the triple","Time"
"origin","4980000","94.16446208953857"
"origin","4990000","94.34846115112305"
"origin","5000000","94.5344603061676"
"origin","5010000","94.71649408340454"
"origin","5020000","94.88746380805969"
"origin","5030000","95.05496978759766"
"origin","5040000","95.22597146034241"
"origin","5050000","95.39998388290405"
"origin","5060000","95.57600831985474"
"origin","5070000","95.74797487258911"
"origin","5080000","95.91897344589233"
"origin","5090000","96.09600853919983"
"origin","5100000","96.27697801589966"
"origin","5110000","96.45397615432739"
"origin","5120000","96.62697577476501"
"origin","5130000","96.80202221870422"
"origin","5140000","96.97497701644897"
"origin","5150000","97.15400290489197"
"origin","5160000","97.3360013961792"
"origin","5170000","97.51499962806702"
"oxygen_tolerance","5180000","98.02553725242615"
"oxygen_tolerance","5190000","98.18049907684326"
"oxygen_tolerance","5200000","98.33449983596802"
"oxygen_tolerance","5210000","98.49450588226318"
"oxygen_tolerance","5220000","98.66650104522705"
"oxygen_tolerance","5230000","98.8315372467041"
"oxygen_tolerance","5240000","98.99451208114624"
"oxygen_tolerance","5250000","99.1535108089447"
"oxygen_tolerance","5260000","99.31351017951965"
"oxygen_tolerance","5270000","99.4835102558136"
"oxygen_tolerance","5280000","99.64659214019775"
"oxygen_tolerance","5290000","99.81458950042725"
"risk_assessment","5300000","100.3685896396637"
"risk_assessment","5310000","100.53755807876587"
"risk_assessment","5320000","100.71055746078491"
"risk_assessment","5330000","100.8795919418335"
"risk_assessment","5340000","101.04355812072754"
"risk_assessment","5350000","101.21556186676025"
"risk_assessment","5360000","101.39159488677979"
"risk_assessment","5370000","101.56256079673767"
"risk_assessment","5380000","101.72256064414978"
"risk_assessment","5390000","101.88056015968323"
"risk_assessment","5400000","102.0405604839325"
"risk_assessment","5410000","102.21020793914795"
"risk_assessment","5420000","102.37191796302795"
"risk_assessment","5430000","102.54188513755798"
"spore_formation","5440000","102.93192076683044"
"spore_formation","5450000","103.10092568397522"
"spore_formation","5460000","103.28288507461548"
"culture_medium","5470000","104.68072605133057"
"culture_medium","5480000","104.83072662353516"
"culture_medium","5490000","104.98372769355774"
"culture_medium","5500000","105.13373136520386"
"culture_medium","5510000","105.29972887039185"
"culture_medium","5520000","105.46972894668579"
"culture_medium","5530000","105.6357307434082"
"culture_medium","5540000","105.7829122543335"
"culture_medium","5550000","105.94491147994995"
"culture_medium","5560000","106.0919463634491"
"culture_medium","5570000","106.2519142627716"
"culture_medium","5580000","106.40391325950623"
"culture_medium","5590000","106.55791521072388"
"culture_medium","5600000","106.70295095443726"
"culture_medium","5610000","106.85991787910461"
"culture_medium","5620000","107.00591564178467"
"culture_medium","5630000","107.15851616859436"
"culture_medium","5640000","107.30651497840881"
"culture_medium","5650000","107.46051573753357"
"culture_medium","5660000","107.61751651763916"
"culture_medium","5670000","107.79151654243469"
"culture_medium","5680000","107.9685537815094"
"culture_medium","5690000","108.14551973342896"
"culture_medium","5700000","108.32951831817627"
"culture_medium","5710000","108.51851987838745"
"culture_medium","5720000","108.69152164459229"
"culture_medium","5730000","108.8615198135376"
"culture_medium","5740000","109.02352046966553"
"culture_medium","5750000","109.18652153015137"
"culture_medium","5760000","109.34852361679077"
"culture_medium","5770000","109.53452372550964"
"culture_medium","5780000","109.70252442359924"
"culture_medium","5790000","109.86352396011353"
"culture_medium","5800000","110.03552412986755"
"culture_medium","5810000","110.1895260810852"
