ID_kit_api_ID32E,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,ID_strains,ID_reference,manual_annotation,created_ID32E,modify_in_pgsql_ID32E,ID_tbl_api_ID32E,last_change
1030,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,145292,49102,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1031,+,-,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,-,-,-,-,+,145307,49117,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1032,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,145356,49171,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1033,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145357,49172,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1034,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,145358,49173,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1035,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,145359,49174,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1036,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,145361,49176,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1037,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,145362,49177,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1038,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,145363,49178,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1039,-,-,+,+,-,+,-,-,+,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,-,145416,49233,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1040,-,+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,+,+,+,+,-,-,+,+,+,+,+,+,-,-,145417,49234,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1041,-,-,+,+,-,+,-,-,+,+,+,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,4958,49246,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1042,-,-,-,-,-,+,-,-,+,-,-,+,-,-,+,-,+,-,+,+,-,+,-,-,+,+,+,-,-,+,-,-,145426,49247,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1043,-,+,-,-,-,+,-,-,-,+,+,+,+,+,-,-,-,-,+,+,-,+,+,-,+,+,-,+,+,-,-,-,145434,49255,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1044,-,-,-,+,-,-,-,+,+,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,+,+,145442,49274,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1045,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,145457,49294,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1046,+,+,+,-,-,-,-,+,+,+,+,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,-,-,-,-,145513,49351,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1047,+,+,+,-,-,-,+,+,+,-,+,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,-,-,+,-,-,141551,44603,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1048,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,145544,49391,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1049,+,+,-,-,-,+,-,+,+,+,+,+,-,-,-,-,-,+,+,+,+,+,-,-,+,+,+,+,+,-,+,-,145571,49422,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1050,+,+,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,145572,49423,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1051,+,+,-,-,-,+,-,+,-,+,-,+,-,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,145574,49425,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1052,+,+,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,145575,49426,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1053,+,+,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,145576,49427,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1054,+,+,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,145578,49429,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1055,+,+,-,-,-,+,-,+,+,+,+,+,-,-,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,145579,49430,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1056,+,+,-,-,-,+,-,+,-,+,+,+,-,+,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,145580,49431,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1057,+,+,-,-,-,+,-,+,-,+,+,+,-,+,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,145581,49432,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1058,-,+,-,-,-,+,-,+,+,+,+,+,-,+,-,-,-,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,145583,49434,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1059,+,+,-,-,-,+,-,+,+,+,+,+,-,-,-,-,-,+,+,+,+,+,-,+,+,+,+,-,+,-,+,-,145584,49435,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
1060,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145592,49451,1,2019-11-19 10:07:02,2019-11-19 09:07:02,,2019-11-19 09:07:02
