ID_kit_api_rID32A,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,ID_strains,ID_reference,manual_annotation,created_rID32A,modify_in_pgsql_rID32A,ID_tbl_api_rID32A,last_change
5933,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,157669,64238,1,2016-08-02 00:00:00,2016-09-09 07:50:04,927.0,2019-11-20 06:22:51
5932,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-,-,-,+,-,-,+,-,1626,7732,1,2016-08-18 00:00:00,2016-09-07 12:25:04,926.0,2019-11-20 06:22:51
5931,-,-,+,+,-,+,+,+,-,+,+,+,+,+,-,+,+,+,-,+,-,+,-,+/-,+,+/-,+/-,+/-,-,1600,1004,1,2016-08-18 00:00:00,2016-09-06 11:30:05,923.0,2019-11-20 06:22:51
5930,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,157666,64235,1,2016-08-02 00:00:00,2016-09-06 09:30:05,921.0,2019-11-20 06:22:51
5929,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,157666,64235,1,2015-01-28 00:00:00,2016-09-06 09:30:05,920.0,2019-11-20 06:22:51
5928,-,-,+,+,-,+,+,-,-,+,+,+,+,+,-,-,+,+,-,+,-,+,-,+/-,+,-,+/-,+,-,1585,979,1,2016-08-10 00:00:00,2016-09-01 11:50:05,916.0,2019-11-20 06:22:51
5927,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,157668,64237,1,2016-08-03 00:00:00,2016-09-01 07:05:05,914.0,2019-11-20 06:22:51
5926,-,-,+,+,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17849,16637,1,2016-08-23 00:00:00,2016-08-31 07:25:04,911.0,2019-11-20 06:22:51
5925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,157665,64234,1,2016-08-11 00:00:00,2016-08-29 07:05:05,910.0,2019-11-20 06:22:51
5924,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+/-,-,-,-,-,-,157665,64234,1,2014-02-11 00:00:00,2016-08-29 07:05:04,909.0,2019-11-20 06:22:51
