ID_kit_api_20STR,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_20STR,modify_in_pgsql_20STR,ID_tbl_api_20STR,last_change
473,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,+,-,+,+,-,+,155391,61376,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
474,+,-,+,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,+,155557,61609,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
475,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,+,-,-,-,-,-,14846,61747,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
476,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,-,+,156043,62231,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
477,+,-,+,-,+,-,+,-,+,-,-,-,-,-,-,+,-,+,-,-,-,156232,62449,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
478,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,+,+,-,+,156293,62532,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
479,-,+,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,+,-,+,156421,62685,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
480,+,+,+,+,-,+,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,156681,63079,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
481,-,+,+,+,-,+,+,-,-,-,+,-,+,-,+,+,-,+,+,+,+,156777,63191,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
482,-,+,+,+,-,-,+,+,+,+,+,-,+,-,+,+,-,-,+,+,-,23300,63338,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
483,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,-,-,+,-,+,157053,63553,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
484,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,+,-,+,141870,45056,1,2019-11-19 09:55:22,2019-11-19 08:55:22,,2019-11-19 08:55:22
