ID_nutrition_type,nutrition_type,ID_strains,ID_reference,manual_annotation,last_change
1408,chemoautolithotroph,140831,43629,1,2019-01-25 12:32:00
1409,heterotroph,132534,43631,1,2019-01-25 12:32:00
1410,chemoorganotroph,140835,43638,1,2019-01-25 12:32:00
1411,heterotroph,140842,43645,1,2019-01-25 12:32:00
1412,heterotroph,140844,43647,1,2019-01-25 12:32:00
1413,chemoorganoheterotroph,132517,43651,1,2019-01-25 12:32:00
1414,chemoorganoheterotroph,132529,43653,1,2019-01-25 12:32:00
1415,chemoautolithotroph,132490,43669,1,2019-01-25 12:32:00
1416,chemoheterotroph,139044,43689,1,2019-01-25 12:32:00
1417,chemoorganotroph,17779,43698,1,2019-01-25 12:32:00
1418,chemoorganotroph,17777,43698,1,2019-01-25 12:32:00
1419,chemoorganotroph,17778,43698,1,2019-01-25 12:32:00
1420,organotroph,140873,43699,1,2019-01-25 12:32:00
1421,chemoorganotroph,132452,43713,1,2019-01-25 12:32:00
1422,chemoheterotroph,140889,43719,1,2019-01-25 12:32:00
1423,chemoheterotroph,132465,43720,1,2019-01-25 12:32:00
1424,heterotroph,140891,43723,1,2019-01-25 12:32:00
1425,heterotroph,140894,43726,1,2019-01-25 12:32:00
1426,heterotroph,140896,43729,1,2019-01-25 12:32:00
1427,autotroph,132429,43730,1,2019-01-25 12:32:00
1428,chemoheterotroph,140899,43736,1,2019-01-25 12:32:00
1429,chemoorganoheterotroph,140901,43740,1,2019-01-25 12:32:00
1430,organoheterotroph,132428,43763,1,2019-01-25 12:32:00
1431,chemoorganotroph,132385,43774,1,2019-01-25 12:32:00
1432,chemoautolithotroph,140917,43784,1,2019-01-25 12:32:00
1433,chemoorganotroph,140919,43788,1,2019-01-25 12:32:00
1434,chemoorganotroph,132386,43790,1,2019-01-25 12:32:00
1435,chemolithoautotroph,132414,43793,1,2019-01-25 12:32:00
1436,chemoheterotroph,140931,43808,1,2019-01-25 12:32:00
1437,chemoorganotroph,132417,43814,1,2019-01-25 12:32:00
1438,chemoorganotroph,132374,43815,1,2019-01-25 12:32:00
1439,chemoorganotroph,132375,43815,1,2019-01-25 12:32:00
1440,chemoheterotroph,140937,43822,1,2019-01-25 12:32:00
1441,chemoorganotroph,132403,43825,1,2019-01-25 12:32:00
1442,chemoorganotroph,140938,43826,1,2019-01-25 12:32:00
1443,chemoheterotroph,140939,43827,1,2019-01-25 12:32:00
1444,chemoheterotroph,140141,43828,1,2019-01-25 12:32:00
1445,chemoheterotroph,132354,43829,1,2019-01-25 12:32:00
1446,chemolithotroph,132357,43830,1,2019-01-25 12:32:00
1447,chemoheterotroph,140948,43841,1,2019-01-25 12:32:00
1448,chemoheterotroph,140973,43865,1,2019-01-25 12:32:00
1449,chemoorganotroph,140982,43871,1,2019-01-25 12:32:00
1450,chemoorganotroph,140983,43871,1,2019-01-25 12:32:00
1451,chemoorganotroph,140992,43879,1,2019-01-25 12:32:00
1452,chemoorganotroph,140993,43879,1,2019-01-25 12:32:00
1453,heterotroph,140414,43904,1,2019-01-25 12:32:00
1454,chemoautolithotroph,6091,43579,1,2019-01-25 12:32:00
1455,chemoautolithotroph,6092,43579,1,2019-01-25 12:32:00
1456,chemoorganotroph,141051,43931,1,2019-01-25 12:32:00
1457,lithoautotroph,132569,43947,1,2019-01-25 12:32:00
1458,chemoorganotroph,141067,43953,1,2019-01-25 12:32:00
1459,heterotroph,141082,43981,1,2019-01-25 12:32:00
1460,chemoorganoheterotroph,132478,43989,1,2019-01-25 12:32:00
1461,heterotroph,141092,43998,1,2019-01-25 12:32:00
1462,heterotroph,141096,44005,1,2019-01-25 12:32:00
1463,chemoorganotroph,141096,44005,1,2019-01-25 12:32:00
1464,diazotroph,141096,44005,1,2019-01-25 12:32:00
1465,chemoheterotroph,141097,44006,1,2019-01-25 12:32:00
1466,chemoautolithotroph,141102,44010,1,2019-01-25 12:32:00
1467,mixotroph,132415,44025,1,2019-01-25 12:32:00
1468,chemoorganotroph,141116,44027,1,2019-01-25 12:32:00
1469,chemoorganotroph,141117,44028,1,2019-01-25 12:32:00
1470,chemoorganotroph,141120,44032,1,2019-01-25 12:32:00
1471,heterotroph,132412,44034,1,2019-01-25 12:32:00
1472,chemoorganotroph,132361,44040,1,2019-01-25 12:32:00
1473,organoheterotroph,141129,44041,1,2019-01-25 12:32:00
