ID_kit_api_20NE,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_20NE,modify_in_pgsql_20NE,ID_tbl_api_20NE,last_change
10455,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,+,13799,4375,1,2016-11-22 00:00:00,2016-11-28 14:35:05,2052.0,2019-11-20 06:22:46
10454,+,-,-,+,+,-,+,-,+,-,-,+,+,-,+,+,+,+,+,-,+,12758,476,1,2016-11-24 00:00:00,2016-11-24 15:40:04,2051.0,2019-11-20 06:22:46
10453,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140363,42970,1,2016-11-14 00:00:00,2016-11-14 08:40:05,2028.0,2019-11-20 06:22:46
10452,+,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,+,+,-,+,131904,23696,1,2016-11-11 00:00:00,2016-11-11 12:35:04,2027.0,2019-11-20 06:22:46
10451,-,-,-,-,-,+,+,+,+,+,+,+/-,+,+,+,+,+,+,+,+,+,1909,12671,1,2016-11-07 00:00:00,2016-11-11 10:15:04,2026.0,2019-11-20 06:22:46
10450,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,13592,2211,1,2016-11-04 00:00:00,2016-11-11 10:00:05,2025.0,2019-11-20 06:22:46
10449,-,-,-,-,-,+,+,+,+,-,+,-,-,+,-,-,-,-,-,+,+,11326,7008,1,2016-11-01 00:00:00,2016-11-08 14:40:07,2022.0,2019-11-20 06:22:46
10448,+,-,-,+,+,+,+,-,+,-,-,+,+,-,+,+,+,+,+,-,+,12801,16444,1,2016-10-27 00:00:00,2016-10-27 16:25:05,2010.0,2019-11-20 06:22:46
10447,-,-,+,+,+,+,+,+,+,-,+,-,+,+,+,-,-,+,+,+,-,5188,1760,1,2016-10-21 00:00:00,2016-10-21 07:05:05,2009.0,2019-11-20 06:22:46
10446,+,-,+,-,-,-,-,-,+,+,+,-,+,+,+,-,-,-,-,-,+,132145,23935,1,2016-10-18 00:00:00,2016-10-18 07:00:05,2008.0,2019-11-20 06:22:46
10445,-,-,-,+,-,+,+,+,+,-,-,-,-,+,-,-,-,-,-,-,+,24670,20533,1,2016-10-17 00:00:00,2016-10-17 15:40:05,2007.0,2019-11-20 06:22:46
10444,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,+,2917,4788,1,2016-10-14 00:00:00,2016-10-14 11:35:05,2006.0,2019-11-20 06:22:46
10443,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,132295,24084,1,2016-10-12 00:00:00,2016-10-12 15:20:05,2005.0,2019-11-20 06:22:46
10442,+,-,-,-,+,+,-,-,+,+,+,+,-,-,+,-,-,+,+,-,+,131683,23479,1,2016-10-07 00:00:00,2016-10-07 09:50:04,2004.0,2019-11-20 06:22:46
10441,+,-,-,-,-,-,-,+/-,+,+,+,+,+,+/-,+,+,+,+,+,+,-,1969,7459,1,2016-09-30 00:00:00,2016-10-05 09:40:06,2002.0,2019-11-20 06:22:46
10440,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,23243,19264,1,2016-09-08 00:00:00,2016-10-05 09:15:05,2001.0,2019-11-20 06:22:46
10439,-,+,+,+,-,+,+,-,+,-,+,-,+,-,+,-,-,+,-,-,-,5194,6939,1,2016-10-05 00:00:00,2016-10-05 09:05:05,2000.0,2019-11-20 06:22:46
10438,-,-,-,-,-,+,-,+,+,+,+,+,+,+/-,+,+,+,+,+,+,+,1906,3094,1,2016-09-09 00:00:00,2016-10-04 10:25:06,1999.0,2019-11-20 06:22:46
