ID_kit_api_NH,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,ID_strains,ID_reference,manual_annotation,created_NH,modify_in_pgsql_NH,ID_tbl_api_NH,last_change
2648,+,+,+,+,-,-,-,+,-,-,+,-,+,12516,16540,1,2009-09-14 00:00:00,2016-01-18 08:02:53,202.0,2019-11-20 06:22:49
2647,+,+,+,+,-,-,+,+,+,-,+,-,-,12515,16530,1,2009-09-10 00:00:00,2016-01-18 08:02:53,201.0,2019-11-20 06:22:49
2646,+,+,+,+,-,-,+,+/-,+,-,+,-,-,12515,16530,1,2010-01-08 00:00:00,2016-01-18 08:02:53,200.0,2019-11-20 06:22:49
2645,+,-,+,+/-,-,-,-,-,-,+,-,-,-,10490,16528,1,2009-08-12 00:00:00,2016-01-18 08:02:53,199.0,2019-11-20 06:22:49
2644,-,-,-,-,+,-,+,-,-,-,+,-,+,8174,16524,1,2009-08-07 00:00:00,2016-01-18 08:02:53,198.0,2019-11-20 06:22:49
2643,+,+,+,+,-,+,+,+,+,-,+,-,-,11690,16332,1,2009-05-19 00:00:00,2016-01-18 08:02:53,197.0,2019-11-20 06:22:49
2642,+,+,+,+,-,-,-,-,+,-,+,-,-,11684,16331,1,2009-04-17 00:00:00,2016-01-18 08:02:53,196.0,2019-11-20 06:22:49
2641,+,+,+,+,-,+,+,+,+,-,+,-,-,11682,16330,1,2009-04-16 00:00:00,2016-01-18 08:02:53,195.0,2019-11-20 06:22:49
2640,+,+,+,+,-,-,-,+,+,-,+,-,+,11685,16244,1,2009-02-17 00:00:00,2016-01-18 08:02:53,194.0,2019-11-20 06:22:49
2639,+,+,-,-,+,-,-,-,-,-,+,-,-,11683,16243,1,2009-03-05 00:00:00,2016-01-18 08:02:53,193.0,2019-11-20 06:22:49
2638,+,+,+,+,-,+,+,+,+,-,+,-,-,11677,16242,1,2009-02-17 00:00:00,2016-01-18 08:02:53,192.0,2019-11-20 06:22:49
2637,+,+,+,+,-,+,-,+,+,-,+,-,-,11688,16240,1,2009-02-17 00:00:00,2016-01-18 08:02:53,191.0,2019-11-20 06:22:49
2636,+,+,+,+,-,-,+,-,+,-,+,-,-,11687,16239,1,2009-02-25 00:00:00,2016-01-18 08:02:53,190.0,2019-11-20 06:22:49
