ID_kit_api_rID32STR,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,cupule_22,cupule_23,cupule_24,cupule_25,cupule_26,cupule_27,cupule_28,cupule_29,cupule_30,cupule_31,cupule_32,ID_strains,ID_reference,manual_annotation,created_rID32STR,modify_in_pgsql_rID32STR,ID_tbl_api_rID32STR,last_change
6556,+,+,-,-,-,+/-,+/-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,5371,5647,1,2016-11-01 00:00:00,2016-11-23 08:45:05,589.0,2019-11-20 06:22:52
6555,+,+,+,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,+,-,-,-,-,-,-,14767,8917,1,2016-11-09 00:00:00,2016-11-11 12:10:05,588.0,2019-11-20 06:22:52
6554,-,+,-,-,+,-,-,+,+,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,14736,8891,1,2016-11-09 00:00:00,2016-11-11 09:35:05,587.0,2019-11-20 06:22:52
6553,-,+,+,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,+,+,-,-,+,+,-,-,-,-,-,-,14744,4517,1,2016-11-09 00:00:00,2016-11-11 09:10:04,586.0,2019-11-20 06:22:52
6552,+,+,+,-,+,-,+,+,-,+,+,+,+,+,-,-,+,-,+,+,+,+,+,-,-,+,+,-,-,-,+,-,5304,18089,1,2016-10-27 00:00:00,2016-11-11 08:40:05,585.0,2019-11-20 06:22:52
6551,+,+,+,-,+,-,+,-,-,-,+,-,+,-,-,+,+,-,+,+,+,+,-,-,-,+,-,-,+,-,+/-,-,5315,1357,1,2016-10-18 00:00:00,2016-10-20 13:25:05,584.0,2019-11-20 06:22:52
6550,+,+,-,-,-,+/-,+,+,+,+,+,-,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,-,5279,1124,1,2016-10-14 00:00:00,2016-10-20 13:10:04,583.0,2019-11-20 06:22:52
6549,+,+,+,-,-,+,+,+,+,+,+,-,+,-,-,+,+,-,+/-,+,+,+,-,-,-,+,-,-,+,+,+,-,5292,8847,1,2016-09-20 00:00:00,2016-09-26 08:50:05,582.0,2019-11-20 06:22:52
6548,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,+,-,-,-,14724,8911,1,2016-09-14 00:00:00,2016-09-26 08:10:05,581.0,2019-11-20 06:22:52
6547,+,+,-,-,+,-,+,-,-,-,+,-,+,-,-,-,+,-,-,+,+,+,+,-,-,+,-,+,+,-,+,+,132142,23932,1,2016-04-12 00:00:00,2016-09-23 11:45:05,580.0,2019-11-20 06:22:52
6546,-,-,+,-,+,-,+,-,-,+,-,+,+,-,-,-,-,+,-,-,-,+,-,-,+,+,+/-,-,-,-,-,-,14734,4776,1,2016-09-08 00:00:00,2016-09-20 05:50:05,579.0,2019-11-20 06:22:52
6545,-,+,-,-,-,-,+,+,+,+/-,+,-,+/-,+,-,-,+,+,-,+,-,+,-,-,-,+,-,+,+,+,-,-,5270,9001,1,2016-08-10 00:00:00,2016-09-05 10:55:05,578.0,2019-11-20 06:22:52
6544,+,+,-,-,+/-,+,-,-,-,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,+,-,+/-,+,14717,8913,1,2016-08-08 00:00:00,2016-09-05 09:40:04,577.0,2019-11-20 06:22:52
6543,+,+,+,+,-,+,+,+,+,+,+,-,+,-,-,-,+,+,-,+,+,-,+,-,-,+,-,-,+,-,+,-,14787,8919,1,2016-08-03 00:00:00,2016-09-02 11:05:06,576.0,2019-11-20 06:22:52
6542,+,+,-,-,-,-,+/-,+,-,+,+,-,-,+,-,+,+,-,+,+,+,+,+,-,-,+,-,-,+/-,-,+,-,5295,977,1,2016-08-10 00:00:00,2016-09-01 11:25:04,575.0,2019-11-20 06:22:52
6541,+,+,+,+,+,-,-,-,-,+,+,+,+,-,-,+,+,+,+,+/-,+,+,-,+,+,+,+,-,+,+,+,+/-,24602,21032,1,2016-06-22 00:00:00,2016-06-30 09:50:04,574.0,2019-11-20 06:22:52
6540,-,+,-,-,+,-,-,+,-,+,+,+,+,-,-,-,+,+,-,-,-,-,-,+,+,+,-,-,+,-,-,-,14821,6623,1,2016-06-22 00:00:00,2016-06-22 13:55:05,573.0,2019-11-20 06:22:52
6539,+,+,+,-,-,+,+,+,+,+/-,+,-,+,-,-,+,+,-,+/-,+,+/-,+,+,-,-,+,-,-,+/-,+,-,-,5284,4868,1,2016-06-08 00:00:00,2016-06-16 06:50:06,572.0,2019-11-20 06:22:52
6538,-,+,-,-,-,-,+/-,+,-,-,+,-,-,-,-,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,5337,6056,1,2016-05-12 00:00:00,2016-06-02 05:25:05,565.0,2019-11-20 06:22:52
6537,-,+,-,-,+,+/-,+,+,+,+,+,+,+,+,+/-,+,+,-,-,-,-,+,-,-,+/-,+,+,+/-,-,+/-,-,-,5328,3130,1,2016-04-28 00:00:00,2016-05-26 05:55:05,564.0,2019-11-20 06:22:52
6536,+,+,-,-,+,-,+,-,-,+,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,+,+,-,-,5324,2636,1,2016-04-28 00:00:00,2016-05-26 05:55:05,563.0,2019-11-20 06:22:52
