ID_kit_api_zym,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,ID_strains,ID_reference,manual_annotation,created_zym,modify_in_pgsql_zym,ID_tbl_api_zym,last_change
166,,+,+,+,-,+,+,-,-,-,+,+,-,-,-,+,+,-,-,-,1834,18455,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
167,,+,-,+,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,3123,18456,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
168,,+,-,+,-,+,-,-,+,-,+,+,-,-,-,+,-,-,-,-,3131,18458,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
169,,-,+,+,-,+,-,-,+,-,-,-,-,-,-,+,+,-,-,-,3101,18459,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
170,,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,2385,18460,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
171,,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,+,+,-,15257,18462,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
172,,+,+,+,+,+,+,+,+,+,+,+,-,+,-,+,+,+,-,-,15092,18463,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
173,,+,-,+,-,+,+,+,-,+,+,+,-,-,-,+,-,+,-,-,15052,18467,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
174,,+,+,-,-,-,-,+,+,+,+,+,-,-,-,-,-,+,-,+,13298,18469,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
175,,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,+,-,14940,18470,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
176,,+,+,+,+,+,+,+,+,+,+,+,-,+,-,+,+,+,-,-,15233,18472,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
177,,+,+,+,+,+,+,-,-,-,+,+,-,+,-,+,+,+,+,-,14974,18474,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
178,,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,-,15216,18476,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
179,,+,+,+,+,+,+,+,+,+,+,+,-,+,-,+,+,+,-,+,15043,18478,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
180,,+,-,+,-,+,-,+,-,-,+,+,-,-,-,-,-,+,-,-,15269,18479,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
181,,+,+,+,-,+,+,+,+,+,+,-,+,+,-,+,+,-,-,-,13356,18481,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
182,,+,-,+,+,+,+,+,-,-,+,-,-,+,-,-,+,-,-,-,13315,18482,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
183,,-,-,-,-,+,+,+,+,-,-,+,+,+,-,+,+,-,-,-,10998,18483,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
184,,-,-,+,-,+,+,-,-,-,+,-,-,-,-,+,-,-,-,-,10836,18486,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
185,,+,+,+,-,+,+,-,-,+,+,+,-,-,-,+,-,+,-,-,7994,18487,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
186,,+,+,+,-,+,+,+,-,-,+,+,-,-,-,+,+,+,+,-,11180,18489,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
187,,+,-,-,-,+,+,+,+,+,+,+,-,-,-,-,-,+,-,-,16950,18490,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
188,,+,+,+,-,+,+,+,+,-,+,+,-,+,+,+,+,-,-,-,10763,18493,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
189,,+,-,+,-,+,-,+,+,-,+,+,+,+,-,+,-,+,-,-,17006,18494,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
190,,+,-,+,-,+,+,-,+,+,+,-,+,+,-,+,+,+,+,+,16546,18495,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
191,,+,-,+,-,+,+,-,+,-,+,+,-,-,-,+,-,-,-,-,13362,18496,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
192,,+,-,+,+,+,+,+,+,+,+,+,-,-,+,+,+,-,-,-,6273,18498,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
193,,+,-,+,+,+,+,+,+,+,+,+,-,-,+,+,+,-,-,-,6275,18499,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
194,,-,-,+,-,+,+,-,-,-,-,-,-,-,+,+,+,-,-,-,7252,18500,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
195,,-,+,+,-,+,-,-,-,-,+,-,-,+,-,-,+,-,-,-,7408,18501,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
196,,-,+,+,-,+,+,-,-,-,+,-,+,+,-,+,+,+,+,-,12610,18502,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
197,,+,-,+,-,+,+,-,-,-,+,+,+,+,-,+,+,+,+,+,12613,18503,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
198,,+,-,-,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,7490,18504,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
199,,+,-,+,-,+,+,+,-,-,+,-,-,-,-,+,+,-,-,-,7491,18505,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
200,,+,+,+,-,+,+,+,+,+,+,+,-,-,-,+,-,-,+,-,7585,18506,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
201,,+,-,+,-,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,7583,18507,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
202,,+,+,+,+,+,+,-,+,+,+,-,-,-,-,+,-,-,-,-,7329,18508,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
203,,+,+,+,-,+,+,-,-,-,+,-,+,+,-,+,+,-,-,+,7473,18509,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
204,,+,+,+,-,+,+,+,+,-,-,-,-,+,-,+,+,-,-,-,6298,18510,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
205,,-,+,+,-,+,+,+,+,-,+,-,-,-,+,+,+,+,+,-,7412,18511,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
206,,+,-,+,-,+,+,+,-,-,+,-,+,+,-,+,+,-,+,-,7248,18512,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
207,,+,+,+,-,+,-,-,+,-,-,-,+,+,-,+,-,-,-,-,7650,18513,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
208,,+,+,+,-,-,-,-,-,-,+,-,+,+,-,+,+,-,-,-,18107,18514,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
209,,+,+,-,-,+,+,+,+,-,+,-,-,-,-,+,+,-,-,+,7780,18516,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
210,,-,+,+,-,+,+,+,-,-,-,-,+,+,+,+,+,+,-,+,3913,18517,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
211,,-,+,+,-,+,+,+,-,-,-,-,-,+,-,-,+,-,-,-,7266,18518,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
212,,-,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,+,-,-,7468,18519,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
213,,-,+,+,-,+,+,+,-,-,-,-,+,+,-,+,+,+,-,-,7469,18520,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
214,,-,+,+,-,+,-,-,+,-,-,-,+,+,-,+,+,+,+,+,7592,18521,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
215,,-,+,-,-,+,+,-,+,-,-,-,+,-,-,+,-,-,-,-,6283,18522,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
216,,-,+,+,+,-,+,-,+,+,+,+,+,+,-,+,+,+,+,+,11069,18523,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
217,,-,+,+,+,+,+,+,-,+,-,-,+,+,+,+,+,+,-,-,6315,18524,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
218,,+,+,+,-,+,+,-,+,-,+,+,+,+,-,+,+,+,-,-,15211,18530,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
219,,+,+,+,+,+,+,+,+,-,+,+,-,+,-,+,+,+,+,+,15234,18541,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
220,,+,+,+,-,+,+,-,-,-,+,+,-,+,-,+,+,+,-,-,15066,18543,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
221,,+,+,+,-,+,+,-,-,-,+,+,-,+,-,+,+,+,+,-,15104,18544,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
222,,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,+,-,15105,18545,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
223,,+,+,+,-,+,+,+,+,+,+,+,-,+,-,+,+,+,+,-,15113,18546,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
224,,+,+,+,+,+,+,-,+,-,+,+,-,+,-,+,+,-,+,-,15120,18547,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
225,,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,+,+,+,-,15162,18549,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
226,,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,+,-,15048,18552,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
227,,+,+,+,-,+,+,+,+,+,+,+,+,-,-,-,+,+,+,-,15133,18553,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
228,,+,+,-,-,+,+,+,+,+,+,+,-,-,-,+,+,+,-,-,15254,18554,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
229,,+,+,+,-,+,+,+,-,-,+,+,-,+,-,+,+,+,+,-,15266,18555,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
230,,+,+,+,+,+,+,+,+,-,+,+,-,+,-,+,+,+,-,-,15119,18557,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
231,,+,+,+,+,+,+,-,+,-,+,+,-,+,-,+,+,+,+,-,15006,18558,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
232,,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,-,-,14883,18562,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
233,,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,+,-,-,-,16926,18567,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
234,,+,+,+,+,+,+,-,-,-,+,+,+,+,-,+,+,+,+,-,16073,18570,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
235,,+,+,+,-,+,+,-,-,-,+,+,+,+,-,+,+,+,+,-,15055,18574,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
236,,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,-,14933,18576,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
237,,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,+,-,-,+,16218,18577,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
238,,+,+,+,+,+,+,+,+,+,+,+,-,+,-,+,+,+,+,-,15402,18582,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
239,,+,+,+,-,+,+,+,+,+,+,+,-,+,-,+,+,+,-,-,15291,18590,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
240,,+,-,+,+,-,-,-,+,-,+,-,-,-,+,+,+,-,-,-,10727,18597,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
241,,+,+,+,+,+,+,+,+,-,+,+,-,+,+,+,+,-,-,-,13493,18598,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
242,,+,-,+,-,+,+,-,+,-,+,+,+,+,-,+,+,+,+,-,15214,18599,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
243,,+,+,+,-,+,+,-,+,-,+,+,-,+,-,-,-,+,+,-,15325,18600,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
244,,+,-,+,-,,+,+,+,+,+,+,-,+,-,+,-,+,-,-,13444,18604,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
245,,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,+,+,-,15129,18605,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
246,,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,-,+,+,-,15429,18606,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
247,,+,+,+,+,+,-,+,+,+,+,-,-,+,+,+,+,-,-,-,11113,18608,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
248,,-,+,+,-,+,+,-,-,-,-,-,-,+,-,+,-,-,+,-,7601,18609,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
249,,-,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,+,-,7604,18610,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
250,,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,-,-,-,11115,18611,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
251,,-,+,+,-,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,7332,18612,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
252,,+,+,+,-,+,-,-,-,-,+,-,-,-,-,+,+,+,-,-,2373,18613,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
253,,+,+,+,-,+,+,+,-,-,+,-,-,+,-,+,+,-,-,-,11144,18614,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
254,,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,7354,18615,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
255,,+,+,+,-,+,+,-,-,+,+,-,+,+,+,+,+,-,+,-,7257,18616,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
256,,+,+,+,+,+,-,+,-,-,+,+,-,-,-,+,-,-,-,-,7355,18617,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
257,,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,17737,18618,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
258,,-,-,+,-,+,-,-,-,-,+,-,+,+,-,+,+,+,-,-,7642,18619,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
259,,-,-,+,-,+,+,+,+,+,+,+,-,+,-,+,+,+,-,-,2354,18620,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
260,,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,+,-,-,2351,18621,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
261,,+,-,+,-,+,+,+,+,-,+,+,+,+,-,+,-,-,-,-,7529,18622,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
262,,+,-,+,+,+,+,+,+,-,+,+,-,-,-,+,-,-,+,+,7524,18623,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
263,,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,+,-,7571,18624,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
264,,+,+,+,-,+,+,+,-,-,+,+,-,-,-,+,+,-,-,-,3124,18626,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
265,,+,+,+,-,+,+,+,+,-,+,+,+,+,-,+,+,-,+,-,7533,18627,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
266,,+,+,+,-,+,+,+,+,-,+,+,+,+,-,-,+,+,+,-,7619,18628,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
267,,+,+,+,-,+,+,+,+,-,+,+,-,+,-,+,+,+,+,-,7363,18629,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
268,,+,-,-,+,+,+,-,-,-,+,-,-,+,-,+,+,-,+,-,17087,18633,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
269,,+,+,+,+,+,+,+,+,+,+,+,-,+,-,+,+,-,+,-,7367,18634,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
270,,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,+,+,-,7365,18635,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
271,,+,+,+,-,+,+,+,+,+,+,+,-,+,-,+,+,+,-,-,3128,18636,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
272,,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,3085,18637,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
273,,+,+,+,-,-,-,-,+,-,+,+,+,+,-,+,+,+,+,-,14939,18659,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
274,,+,+,+,+,+,+,-,+,+,+,+,-,+,-,+,+,-,-,-,15044,18661,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
275,,+,+,+,-,+,+,+,+,+,+,+,-,+,-,+,-,+,+,-,16158,18662,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
276,,+,+,+,+,+,+,-,-,-,+,+,-,+,-,+,+,+,+,-,16470,18663,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
277,,+,-,+,-,+,+,-,-,-,+,+,-,+,-,+,-,+,+,-,15338,18675,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
278,,+,-,-,-,+,+,+,+,+,+,+,+,-,-,+,+,+,+,-,16468,18676,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
279,,+,+,+,-,+,+,+,+,+,+,+,-,+,-,+,+,+,+,-,15570,18677,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
280,,+,-,+,-,-,-,-,+,-,+,+,-,-,-,+,-,-,-,-,16187,18686,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
281,,+,-,+,-,+,+,+,+,-,+,+,+,+,-,+,+,+,+,-,16189,18687,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
282,,+,-,-,-,+,+,-,-,+,+,+,-,+,-,+,+,+,+,-,16188,18688,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
283,,+,-,+,-,+,+,-,+,-,+,+,-,+,-,+,+,+,-,-,16304,18690,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
284,,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,-,+,-,-,16191,18691,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
285,,+,-,+,-,+,+,+,+,-,+,+,-,+,-,+,+,+,+,-,16199,18694,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
286,,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,16206,18695,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
287,,+,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,-,+,-,16310,18698,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
288,,+,-,+,+,+,+,-,-,-,+,+,-,-,-,+,-,-,-,-,14854,18708,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
289,,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,+,-,+,16326,18709,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
290,,+,+,+,+,+,+,+,+,+,+,+,,+,-,+,+,+,-,-,16331,18711,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
291,,+,+,+,-,+,+,+,+,-,+,+,-,+,-,+,-,+,+,-,16333,18712,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
292,,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,-,+,-,14872,18715,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
293,,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,16351,18716,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
294,,+,+,-,-,+,-,-,-,+,+,-,+,+,-,+,+,+,+,-,16352,18717,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
295,,+,+,-,-,+,+,-,-,-,+,+,+,+,-,+,+,+,-,-,16358,18718,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
296,,+,+,+,-,+,+,+,-,-,+,+,+,+,-,+,+,+,+,-,15253,18719,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
297,,+,-,+,+,-,-,-,+,+,+,+,-,-,-,+,-,+,+,-,16359,18720,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
298,,+,+,+,+,+,+,-,-,-,+,+,+,+,-,+,+,+,+,-,16364,18721,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
299,,+,+,+,-,+,+,-,-,-,+,+,+,+,-,+,+,+,+,-,16384,18722,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
300,,+,+,+,+,+,+,-,+,+,+,+,+,+,-,+,+,-,-,-,16378,18723,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
301,,+,-,-,-,+,+,-,+,+,+,+,-,+,-,+,+,+,+,-,16386,18724,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
302,,+,+,+,-,+,-,-,-,-,+,+,-,+,-,+,+,+,+,-,16403,18725,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
303,,+,+,+,-,+,+,-,-,+,+,+,-,-,-,+,+,+,+,-,16461,18726,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
304,,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,+,+,+,-,16416,18727,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
305,,+,+,+,+,+,+,-,-,-,+,+,+,+,-,+,+,-,-,-,16434,18728,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
306,,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,16467,18729,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
307,,+,+,+,+,+,-,-,-,-,+,+,-,+,-,+,-,+,-,-,16463,18730,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
308,,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,16460,18731,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
309,,+,-,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,+,-,16471,18732,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
310,,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,16472,18733,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
311,,+,-,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,+,-,16477,18734,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
312,,+,-,+,-,+,+,-,-,-,+,+,-,+,-,-,+,+,-,-,16478,18735,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
313,,+,-,+,-,+,+,+,+,+,+,+,-,+,-,+,-,+,-,-,16589,18737,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
314,,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,7885,18738,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
315,,-,+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,-,3092,18740,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
316,,+,-,+,-,+,+,+,+,-,+,+,+,+,-,+,+,-,-,-,6285,18741,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
317,,-,+,+,-,+,+,-,-,-,-,-,-,+,-,+,-,-,-,-,7475,18745,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
318,,+,-,+,-,+,+,+,+,-,-,-,-,-,-,+,+,-,-,-,7641,18746,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
319,,-,-,+,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,3922,18747,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
320,,+,+,+,-,+,+,+,-,+,+,+,-,+,-,+,+,+,-,-,7366,18748,1,2016-03-30 09:20:48,2016-03-30 07:20:48,,2016-03-22 13:55:02
