ID_kit_api_STA,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_STA,modify_in_pgsql_STA,ID_tbl_api_STA,last_change
133,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,-,-,+,+,-,153735,59002,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
134,,-,+,+,+,+,+,+,-,-,-,+,+,+,-,-,+,-,+,+,+,153736,59003,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
135,,-,+,+,+,+,+,+,-,-,-,+,+,-,-,-,+,-,+,+,+,153737,59004,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
136,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,+,153738,59005,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
137,,-,+,+,+,+,+,-,+,-,-,+,+,+,-,-,+,-,-,-,+,153780,59061,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
138,,-,+,-,-,+,+,-,+,-,-,+,-,-,-,-,+,-,+,-,+,153781,59062,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
139,,-,+,+,+,+,+,-,+,-,-,+,+,+,-,-,+,-,-,-,+,153782,59063,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
140,,-,+,+,-,+,+,+,+,-,-,+,+,+,-,-,+,-,+,+,+,153813,59118,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
141,,-,+,+,+,+,+,+,+,-,-,+,+,+,-,+,+,-,+,-,+,14668,59119,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
142,,-,+,+,-,+,+,-,-,-,-,+,-,+,-,-,+,-,+,-,+,153828,59136,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
143,,-,+,+,+,+,+,+,+,-,+,+,+,-,+,+,+,-,+,-,+,135389,59147,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
144,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153856,59173,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
145,,-,+,+,+,+,+,+,+,-,-,-,+,-,-,+,+,-,-,-,+,153874,59199,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
146,,-,+,+,+,+,+,-,-,-,-,+,+,+,-,-,+,-,+,-,+,153876,59201,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
147,,-,+,+,+,-,+,+,+,-,-,-,+,-,-,+,+,-,-,-,+,153877,59202,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
148,,-,+,+,-,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,+,153890,59237,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
149,,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,153891,59238,1,2019-11-19 10:25:52,2019-11-19 09:25:52,,2019-11-19 09:25:52
